math,What is 5 + 5?,10,11,8,25,0
math,What is the square root of 81?,7,8,9,10,2
physics,What is the unit of Force?,Newton,Joule,Watt,Pascal,0
physics,Speed equals Distance divided by?,Time,Mass,Energy,Gravity,0
history,Who built the Taj Mahal?,Akbar,Shah Jahan,Babur,Aurangzeb,1
history,In which year did India get independence?,1942,1945,1947,1950,2
biology,Powerhouse of the cell?,Nucleus,Mitochondria,Ribosome,DNA,1
biology,Which blood group is universal donor?,A,B,AB,O,3
tech,What does CPU stand for?,Central Process Unit,Computer Power Unit,Central Processing Unit,Central Power Unit,2
tech,Which is a programming language?,Snake,C++,HTML,Monitor,1
